dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Medium,grok-3-mini,NoFeatures,0.1,1,0.7894,0.6313025210084033,0.4833780160857909,0.9096871846619576,133.72933435440063,14747,1681,472,0.012123
wallmart,Medium,grok-3-mini,NoFeatures,0.1,2,0.79625,0.6630839189747829,0.5172858617131063,0.9233248906285978,124.22715139389038,12602,1357,269,0.008106
wallmart,Medium,grok-3-mini,NoFeatures,0.1,3,0.8001333333333334,0.6835215876702206,0.5410260695187166,0.9279163083978217,127.97085785865784,12331,1349,264,0.008007
wallmart,Medium,grok-3-mini,NoFeatures,0.1,4,0.805325,0.702978983102567,0.5639189768068049,0.933070068853787,142.4711663722992,15837,1726,567,0.013683
wallmart,Medium,grok-3-mini,NoFeatures,0.1,5,0.80964,0.719943506149591,0.583738906384197,0.9390543444887933,145.14469003677368,15659,1687,552,0.013341000000000002
