dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,grok-3-mini,NoFeatures,0.01,1,0.79948,0.17839875440465458,0.09882427708929138,0.9158603281447202,123.38700032234192,14176,1675,457,0.011879999999999998
wallmart,Large,grok-3-mini,NoFeatures,0.01,2,0.799895,0.1886593549171853,0.10511216029999775,0.9195652173913044,178.88377618789673,17680,1676,451,0.011793000000000001
wallmart,Large,grok-3-mini,NoFeatures,0.01,3,0.8004266666666666,0.2032576584249328,0.11413839485876551,0.9272705196697426,134.61643075942993,18759,1767,648,0.015021
wallmart,Large,grok-3-mini,NoFeatures,0.01,4,0.80093,0.21687647521636508,0.12269515384187392,0.9332204824375794,125.84517121315002,13546,1693,505,0.012653999999999999
wallmart,Large,grok-3-mini,NoFeatures,0.01,5,0.801304,0.22819720016780348,0.12990792255234085,0.9375678263645069,113.44346380233765,12463,1353,312,0.008739
