dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Large,gpt-4o,NoFeatures,0.1,1,0.9957583333333333,0.6649111257406188,1.0,0.4980276134122288,14.836577653884888,2140,1561,579,0.0096925
health,Large,gpt-4o,NoFeatures,0.1,2,0.9958416666666666,0.6701916721744877,1.0,0.5039761431411531,13.184373378753662,1721,1222,499,0.008045
health,Large,gpt-4o,NoFeatures,0.1,3,0.9958888888888889,0.6763612508200306,1.0,0.5109862877911779,13.546439409255981,1711,1222,489,0.007944999999999999
health,Large,gpt-4o,NoFeatures,0.1,4,0.9959635416666667,0.6785032771924002,1.0,0.5134354595680563,19.058018684387207,1716,1221,495,0.008002500000000001
health,Large,gpt-4o,NoFeatures,0.1,5,0.9125675,0.08830302135017944,0.048353175169631044,0.5081,19.970876693725586,2068,1536,532,0.009160000000000001
