dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
retail,Medium,gpt-4o-mini,NoFeatures,0.1,1,0.9549375,0.8912682853264967,0.8385357548240636,0.9510782104924365,14.707691431045532,3116,2440,676,0.0007716
retail,Medium,gpt-4o-mini,NoFeatures,0.1,2,0.9569375,0.9035824237335572,0.8586436170212766,0.9534849379799173,15.041253805160522,3135,2450,685,0.0007785000000000001
retail,Medium,gpt-4o-mini,NoFeatures,0.1,3,0.958875,0.9129476098077263,0.8729864215231509,0.9567427673537295,18.89507007598877,3225,2482,743,0.0008181
retail,Medium,gpt-4o-mini,NoFeatures,0.1,4,0.960953125,0.9220499703671355,0.8878476602390821,0.9589929924733973,19.623390913009644,3229,2479,750,0.00082185
retail,Medium,gpt-4o-mini,NoFeatures,0.1,5,0.963025,0.929712004562304,0.8999033994203965,0.9615630376013763,17.085466146469116,3119,2441,678,0.00077295
