dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
retail,Large,gpt-4o-mini,DomainOnly,0.01,1,0.75595625,0.1525706968769668,0.08287162560414947,0.9598580010922992,48.61533713340759,8742,6556,2186,0.0022949999999999993
retail,Large,gpt-4o-mini,DomainOnly,0.01,2,0.632340625,0.11724453581638242,0.06240116288356788,0.9680337009044728,48.8795108795166,7801,5796,2005,0.0020723999999999994
retail,Large,gpt-4o-mini,DomainOnly,0.01,3,0.9659958333333334,0.60817169195314,0.446445564445071,0.9536249341263269,41.030638694763184,5759,4230,1529,0.0015519
retail,Large,gpt-4o-mini,DomainOnly,0.01,4,0.5987234375,0.12595252276014635,0.06733526440663164,0.9728195152725935,44.55213642120361,7159,4933,2226,0.0020755500000000002
retail,Large,gpt-4o-mini,DomainOnly,0.01,5,0.95711,0.5928712119414319,0.4257498295841854,0.9759746855223065,41.72722911834717,7259,5231,2028,0.0020014500000000005
