dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
retail,Medium,gpt-4o-mini,NoFeatures,0.01,1,0.9675,0.5723684210526315,0.4084507042253521,0.9560439560439561,19.588675022125244,3278,2491,787,0.0008458499999999999
retail,Medium,gpt-4o-mini,NoFeatures,0.01,2,0.96778125,0.5948919449901768,0.43109339407744873,0.9594423320659062,16.673145055770874,3102,2443,659,0.00076185
retail,Medium,gpt-4o-mini,NoFeatures,0.01,3,0.9680833333333333,0.6160401002506266,0.45451183431952663,0.9556765163297045,16.994455575942993,3143,2452,691,0.0007824
retail,Medium,gpt-4o-mini,NoFeatures,0.01,4,0.9679375,0.6314655172413793,0.471313672922252,0.956474428726877,15.917991638183594,3267,2494,773,0.0008379
retail,Medium,gpt-4o-mini,NoFeatures,0.01,5,0.9683125,0.6505858028945555,0.4919741505107359,0.9601301871440195,64.80696964263916,3027,2415,612,0.00072945
