dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.1,1,0.7906,0.6405767250257467,0.4914406110086911,0.9196648595367176,45.07072114944458,2235,1662,573,0.0018108
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.1,2,0.79675,0.6700754808862917,0.5235256816740647,0.9305680793507665,19.3918514251709,2181,1660,521,0.001706
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.1,3,0.8009333333333334,0.6872970991726882,0.5438349353662578,0.933570412517781,42.80126142501831,3222,2411,811,0.0025864
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.1,4,0.804875,0.704098267429958,0.5643612495441838,0.9358057039201855,41.59228515625,2487,1757,730,0.0021628
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.1,5,0.80948,0.7200376182918944,0.5837502978317846,0.9393451422436929,27.485352993011475,2434,1742,692,0.0020808000000000003
