dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,mistral-medium-2505-ruud,NoFeatures,0.1,1,0.79218,0.6470927863062084,0.4984695078879209,0.9219937091700944,19.814714670181274,2404,1733,671,0.0020352
wallmart,Large,mistral-medium-2505-ruud,NoFeatures,0.1,2,0.79778,0.6733065154525921,0.5282992559165409,0.928032242980249,22.145833253860474,2859,2174,685,0.0022396000000000004
wallmart,Large,mistral-medium-2505-ruud,NoFeatures,0.1,3,0.8031133333333333,0.6932528718918133,0.551534081988481,0.9329876011685934,20.423333406448364,2182,1663,519,0.0017032
wallmart,Large,mistral-medium-2505-ruud,NoFeatures,0.1,4,0.8076975,0.7106982341989958,0.5724239046141916,0.9370518402443742,31.533657789230347,2192,1663,529,0.0017232
wallmart,Large,mistral-medium-2505-ruud,NoFeatures,0.1,5,0.812172,0.7273840901965793,0.5929015924094362,0.9407705534739482,24.606911420822144,2364,1718,646,0.0019792
