dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.01,1,0.7999,0.1610062893081761,0.08839779005524862,0.9014084507042254,77.09174871444702,2507,1882,625,0.0020028
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.01,2,0.80025,0.17983986861014165,0.09977220956719818,0.9106029106029107,22.72923755645752,3015,2211,804,0.0024923999999999997
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.01,3,0.8011,0.20619928162830917,0.11596588358521621,0.9292565947242206,21.771893739700317,2385,1727,658,0.0020068
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.01,4,0.80105,0.2156514882712399,0.12193490860454748,0.9318568994889267,25.03857398033142,2262,1672,590,0.0018488000000000003
wallmart,Medium,mistral-medium-2505-ruud,NoFeatures,0.01,5,0.80138,0.22842048014917257,0.13006547513714387,0.9369024856596558,27.186360120773315,3328,2312,1016,0.0029568000000000003
