dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,grok-3,NoFeatures,0.01,1,0.998625,0.9699727024567789,0.987037037037037,0.9534883720930233,7.4775331020355225,1527,1133,394,0.0
health,Medium,grok-3,NoFeatures,0.01,2,0.9987291666666667,0.9740756481087973,0.9896373056994818,0.9589958158995816,9.55730652809143,1886,1442,444,0.0
health,Medium,grok-3,NoFeatures,0.01,3,0.998875,0.9789336801040313,0.9900052603892688,0.9681069958847737,8.342928409576416,1942,1461,481,0.0
health,Medium,grok-3,NoFeatures,0.01,4,0.9989479166666667,0.9810967621186599,0.9909262759924385,0.9714603409933283,8.431089878082275,1886,1442,444,0.0
health,Medium,grok-3,NoFeatures,0.01,5,0.9989666666666667,0.9827346143135617,0.9929656724817107,0.9727122381477398,8.930498838424683,1877,1442,435,0.0
