dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Large,grok-3,NoFeatures,0.1,1,0.9785416666666666,0.9463217360488628,0.9277554106803458,0.965646338091085,15.790971040725708,1886,1442,444,0.0
health,Large,grok-3,NoFeatures,0.1,2,0.9804229166666667,0.9541875691671664,0.9403563054925625,0.9684317819714797,29.659795999526978,1939,1452,487,0.0
health,Large,grok-3,NoFeatures,0.1,3,0.9818597222222222,0.959913818238737,0.9497725492101475,0.9702739930012657,31.51567816734314,1882,1442,440,0.0
health,Large,grok-3,NoFeatures,0.1,4,0.9833395833333334,0.9650798225389506,0.9583299005728012,0.9719255040788056,29.618749618530273,1886,1442,444,0.0
health,Large,grok-3,NoFeatures,0.1,5,0.9848683333333333,0.9699435551950739,0.9661342232305379,0.9737830453944176,29.535521984100342,1962,1465,497,0.0
