dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
retail,Medium,gpt-4o,NoFeatures,0.01,1,0.967125,0.5695581014729951,0.4070175438596491,0.9482288828337875,15.505812168121338,3313,2512,801,0.01429
retail,Medium,gpt-4o,NoFeatures,0.01,2,0.9649375,0.56171875,0.40055710306406683,0.9398692810457516,12.48996615409851,2833,2224,609,0.01165
retail,Medium,gpt-4o,NoFeatures,0.01,3,0.8369166666666666,0.24323279195668987,0.13911312617494195,0.9669485011529593,10.990202188491821,2547,1960,587,0.010769999999999998
retail,Medium,gpt-4o,NoFeatures,0.01,4,0.960078125,0.58025299819287,0.41406799531066824,0.969264544456641,10.243974447250366,2791,2187,604,0.011507499999999997
retail,Medium,gpt-4o,NoFeatures,0.01,5,0.9604,0.6001009845998485,0.4336008755928493,0.9741803278688524,11.336294889450073,2611,1974,637,0.011304999999999999
