dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Large,baseline,NoGenAI,0.01,1,0.9990583333333334,0.9788982259570495,0.99223925799735,0.9659111848166575,6.361066579818726,0,0,0,0.0
health,Large,baseline,NoGenAI,0.01,2,0.9990479166666667,0.9801330261270269,0.9940040560797108,0.9666438003772938,7.359209775924683,0,0,0,0.0
health,Large,baseline,NoGenAI,0.01,3,0.99905,0.9817444219066938,0.9947536372978528,0.9690710785605142,8.11150860786438,0,0,0,0.0
health,Large,baseline,NoGenAI,0.01,4,0.9990645833333334,0.983305447109128,0.9958578099111312,0.9710655797899684,9.40133285522461,0,0,0,0.0
health,Large,baseline,NoGenAI,0.01,5,0.9990941666666666,0.984828394768797,0.9968354430379747,0.9731071576334299,10.587348937988281,0,0,0,0.0
