dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,baseline,NoGenAI,0.01,1,0.999,0.9794520547945206,0.9913344887348353,0.9678510998307953,1.4643166065216064,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.01,2,0.999,0.9788546255506608,0.9928507596067918,0.9652476107732406,1.1712918281555176,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.01,3,0.9989722222222223,0.9805263157894737,0.9941302027748132,0.9672897196261683,1.2392635345458984,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.01,4,0.9990104166666667,0.9822197267452741,0.9958254269449716,0.9689807976366323,2.5511960983276367,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.01,5,0.9990666666666667,0.9844097995545658,0.9963369963369964,0.9727647867950482,1.3596673011779785,0,0,0,0.0
