dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,baseline,NoGenAI,0.1,1,0.980125,0.9508298113596536,0.9356867518766484,0.9664710813076278,1.1079864501953125,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.1,2,0.9813541666666666,0.9565006075334144,0.9446097724872804,0.9686946249261665,1.2157137393951416,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.1,3,0.9823055555555555,0.9608192889654324,0.9521516518346946,0.9696461824953445,1.2992076873779297,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.1,4,0.9840416666666667,0.966615820440183,0.9610451512262761,0.9722514466070489,1.434743881225586,0,0,0,0.0
health,Medium,baseline,NoGenAI,0.1,5,0.9855666666666667,0.9713737934682004,0.9688757006264425,0.9738848014847219,1.7374813556671143,0,0,0,0.0
