dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Medium,baseline,NoGenAI,0.1,1,0.7935,0.6446394768542419,0.4951097012952683,0.9235700197238659,0.7568271160125732,0,0,0,0.0
wallmart,Medium,baseline,NoGenAI,0.1,2,0.7992,0.6707117087569695,0.524493459861503,0.929968167348795,0.669518232345581,0,0,0,0.0
wallmart,Medium,baseline,NoGenAI,0.1,3,0.8014,0.6851616994292962,0.5413778705636744,0.9329399913656641,0.8323709964752197,0,0,0,0.0
wallmart,Medium,baseline,NoGenAI,0.1,4,0.805775,0.704679362907211,0.5648385131017672,0.9365464282105689,1.0376067161560059,0,0,0,0.0
wallmart,Medium,baseline,NoGenAI,0.1,5,0.81054,0.721128087373782,0.5849651351609514,0.9399125163072672,1.7647767066955566,0,0,0,0.0
