dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Medium,gpt-4o,NoFeatures,0.1,1,0.8999583333333333,0.6781932716793996,0.9294636296840558,0.5338679046212281,22.566864490509033,3907,2531,1376,0.0200875
sensor,Medium,gpt-4o,NoFeatures,0.1,2,0.9038125,0.7195529368887809,0.9478316530644904,0.5798903465831212,21.048251628875732,3324,2397,927,0.015262500000000002
sensor,Medium,gpt-4o,NoFeatures,0.1,3,0.9058333333333334,0.7436091362880048,0.9569787813899163,0.6080395794681509,17.48083233833313,3487,2398,1089,0.016884999999999997
sensor,Medium,gpt-4o,NoFeatures,0.1,4,0.9076666666666666,0.7661460531869987,0.9663250366032211,0.6346708628376606,20.423279762268066,3673,2521,1152,0.0178225
sensor,Medium,gpt-4o,NoFeatures,0.1,5,0.9095166666666666,0.7853641179726417,0.9744432453644658,0.6577378981524402,19.785003900527954,3846,2592,1254,0.019020000000000002
