dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Large,gpt-4o,NoFeatures,0.1,1,0.8978125,0.6659128989633424,0.9381645108048977,0.5161331193512966,27.88574743270874,4469,2844,1625,0.023360000000000002
sensor,Large,gpt-4o,NoFeatures,0.1,2,0.9067125,0.731636860526442,0.9508817298105683,0.5945511571729136,32.51597714424133,3945,2596,1349,0.01998
sensor,Large,gpt-4o,NoFeatures,0.1,3,0.9004972222222222,0.7286842842751862,0.9624160939547632,0.5862966280905108,42.98554754257202,4459,2868,1591,0.023079999999999996
sensor,Large,gpt-4o,NoFeatures,0.1,4,0.9019760416666667,0.7513324824471698,0.9702634452634452,0.6130120003967073,31.70263385772705,4024,2731,1293,0.0197575
sensor,Large,gpt-4o,NoFeatures,0.1,5,0.9035225,0.771806167400881,0.9767908280864905,0.6379326636407772,36.97350072860718,4344,2837,1507,0.0221625
