dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Large,gpt-4o,NoFeatures,0.01,1,0.9892791666666667,0.6882345813643523,0.9950946040644709,0.5260233376551213,27.960081577301025,4145,2853,1292,0.020052499999999997
sensor,Large,gpt-4o,NoFeatures,0.01,2,0.9893104166666666,0.7236197145165634,0.9957011562407353,0.5683221930789407,34.26819443702698,4804,2995,1809,0.025577500000000003
sensor,Large,gpt-4o,NoFeatures,0.01,3,0.98935,0.7517160989509131,0.9963093296712728,0.6035459886653148,25.1154727935791,4277,2788,1489,0.021859999999999997
sensor,Large,gpt-4o,NoFeatures,0.01,4,0.9893708333333333,0.7733451799200355,0.9973073617874535,0.6315254852167603,30.882426500320435,4600,2852,1748,0.02461
sensor,Large,gpt-4o,NoFeatures,0.01,5,0.9902666666666666,0.8118677920237098,0.9977433785977275,0.6843720298710115,24.158968687057495,3307,2346,961,0.015475000000000003
