dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Medium,gpt-4o-mini,NoFeatures,0.01,1,0.93925,0.2845927379784102,0.19463087248322147,0.5291970802919708,36.946263790130615,4608,2942,1666,0.0014408999999999997
sensor,Medium,gpt-4o-mini,NoFeatures,0.01,2,0.94025,0.3138755980861244,0.2160737812911726,0.5734265734265734,39.84563970565796,4779,2990,1789,0.0015219
sensor,Medium,gpt-4o-mini,NoFeatures,0.01,3,0.9406527777777778,0.3588897224306076,0.2521079258010118,0.6225923997917752,36.18533253669739,4780,2976,1804,0.0015287999999999999
sensor,Medium,gpt-4o-mini,NoFeatures,0.01,4,0.9411770833333334,0.37992752827495335,0.26934454304841976,0.6445603576751118,40.32577562332153,4693,2942,1751,0.0014919
sensor,Medium,gpt-4o-mini,NoFeatures,0.01,5,0.941475,0.41156263091746964,0.2955831026597665,0.6773303916161059,38.4863076210022,4696,2988,1708,0.001473
