dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Medium,gpt-4o-mini,Domain+RCI,0.01,1,0.48783333333333334,0.07481559536354057,0.03898956617243273,0.922077922077922,127.09720659255981,19913,13216,6697,0.0060006
sensor,Medium,gpt-4o-mini,Domain+RCI,0.01,2,0.6959791666666667,0.1066421793694521,0.05744624719693972,0.742540494458653,142.4566924571991,22487,14933,7554,0.00677235
sensor,Medium,gpt-4o-mini,Domain+RCI,0.01,3,0.3969722222222222,0.0794249851581715,0.041415146489773354,0.9659618359979371,138.6663544178009,17774,11887,5887,0.00531525
sensor,Medium,gpt-4o-mini,Domain+RCI,0.01,4,0.7150208333333333,0.14259746771969412,0.07791896427715177,0.8391737366285503,158.10614228248596,25047,16671,8376,0.00752625
sensor,Medium,gpt-4o-mini,Domain+RCI,0.01,5,0.7948416666666667,0.18536779060917905,0.10535223981645164,0.7707760044028619,102.98211550712585,17317,11808,5509,0.0050766
