dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Large,gpt-4o-mini,Domain+RCI,0.01,1,0.7491458333333333,0.11459329088048002,0.06223741593316187,0.7217487958503149,130.72745609283447,20206,13374,6832,0.0061053
sensor,Large,gpt-4o-mini,Domain+RCI,0.01,2,0.67485,0.10389968306462725,0.05572080477395754,0.7676253499618223,175.9907739162445,23520,15473,8047,0.00714915
sensor,Large,gpt-4o-mini,Domain+RCI,0.01,3,0.6755430555555556,0.11257953617352656,0.06068598341353537,0.7770319874147876,201.84243941307068,26307,17541,8766,0.007890750000000002
sensor,Large,gpt-4o-mini,Domain+RCI,0.01,4,0.783034375,0.16810649540492936,0.0944391093240951,0.7642999818412929,155.53138709068298,21891,14820,7071,0.006465599999999999
sensor,Large,gpt-4o-mini,Domain+RCI,0.01,5,0.7548416666666666,0.15409653173539747,0.08614858348015071,0.729381022374653,188.22442746162415,28558,18784,9774,0.008682
