dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Medium,grok-3,NoFeatures,0.1,1,0.8664166666666666,0.6077807682896991,0.6826051112943117,0.5477398015435502,25.786303997039795,3529,2460,1069,0.023415
sensor,Medium,grok-3,NoFeatures,0.1,2,0.9069375,0.7261693128179979,0.9406066380816261,0.5913538338658147,26.815930366516113,3566,2611,955,0.022158
sensor,Medium,grok-3,NoFeatures,0.1,3,0.8778194444444445,0.7050065390161295,0.7663483268936356,0.6527570789865872,22.546765565872192,3500,2585,915,0.02148
sensor,Medium,grok-3,NoFeatures,0.1,4,0.62734375,0.5172390526954996,0.3739366268633419,0.8386207500109395,22.377198934555054,3098,2320,778,0.01863
sensor,Medium,grok-3,NoFeatures,0.1,5,0.874025,0.725380129707341,0.8023550215006229,0.6618817133006233,24.535149812698364,3327,2398,929,0.021129
