dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Large,gpt-4o,NoFeatures,0.1,1,0.51835,0.028556061650167237,0.014519257885606365,0.8593829033889732,60.36259365081787,2599,1624,975,0.01381
sensor,Large,gpt-4o,NoFeatures,0.1,2,0.49133333333333334,0.025737201229001236,0.013076427155177657,0.809691187547075,20.32425856590271,2336,1624,712,0.01118
sensor,Large,gpt-4o,NoFeatures,0.1,3,0.5117722222222222,0.02975401872460696,0.015126724909702714,0.9011870924594549,32.5087251663208,2575,1624,951,0.01357
sensor,Large,gpt-4o,NoFeatures,0.1,4,0.478903125,0.02847082905267492,0.014459048148827595,0.9203917629331994,35.95859217643738,2809,1623,1186,0.015917499999999998
sensor,Large,gpt-4o,NoFeatures,0.1,5,0.4785333333333333,0.028561315702048257,0.014505848700166205,0.9199,39.289013385772705,2811,1623,1188,0.015937499999999997
