dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Large,gpt-4o-mini,NoFeatures,0.1,1,0.9960583333333334,0.6769125683060109,1.0,0.5116159008776459,24.231626510620117,1700,1214,486,0.00047369999999999997
health,Large,gpt-4o-mini,NoFeatures,0.1,2,0.99585625,0.6640770140179024,1.0,0.4970922882427307,22.742562770843506,1724,1226,498,0.0004827
health,Large,gpt-4o-mini,NoFeatures,0.1,3,0.9958152777777778,0.6645886674830235,1.0,0.4976658886295432,24.514164924621582,1721,1222,499,0.00048269999999999997
health,Large,gpt-4o-mini,NoFeatures,0.1,4,0.9958010416666667,0.6667768868314458,1.0,0.5001240079365079,20.246025323867798,1713,1220,493,0.0004788
health,Large,gpt-4o-mini,NoFeatures,0.1,5,0.9958375,0.6671109630123292,1.0,0.5005,22.22938108444214,1712,1219,493,0.00047864999999999995
