dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Medium,baseline,NoGenAI,0.01,1,0.62825,0.10672807368842611,0.05647981350005298,0.9673321234119783,0.9860997200012207,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.01,2,0.6291666666666667,0.11389884508164078,0.060516292848074485,0.9662162162162162,1.073854923248291,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.01,3,0.6301666666666667,0.12379072063178677,0.06610902189575792,0.9710893133711925,1.27803635597229,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.01,4,0.6296041666666666,0.128352208658136,0.0687229295183095,0.9699888847721378,1.4231209754943848,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.01,5,0.630525,0.13742923289430167,0.07393607000062799,0.9730027548209367,1.9640254974365234,0,0,0,0.0
