dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
sensor,Medium,baseline,NoGenAI,0.1,1,0.6910833333333334,0.5504487024011642,0.3852813852813853,0.9634897049458714,2.007321357727051,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.1,2,0.6973958333333333,0.5752054514081829,0.4094770153231179,0.9662965510464774,2.3995018005371094,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.1,3,0.7024861111111111,0.5917710060412021,0.42594167512551095,0.9690425664711022,2.0347020626068115,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.1,4,0.70953125,0.6144699912898007,0.44926510725188523,0.9718359135834864,2.890636444091797,0,0,0,0.0
sensor,Medium,baseline,NoGenAI,0.1,5,0.7158916666666667,0.6331758857769983,0.46908030034913195,0.9738531806447343,4.13676118850708,0,0,0,0.0
