dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,gpt-4o-mini,NoFeatures,0.01,1,0.9994166666666666,0.9869158878504672,0.998109640831758,0.9759704251386322,10.871899843215942,2043,1477,566,0.00056115
health,Medium,gpt-4o-mini,NoFeatures,0.01,2,0.9994166666666666,0.9876760563380281,0.9964476021314387,0.9790575916230366,16.800617933273315,2338,1746,592,0.0006171
health,Medium,gpt-4o-mini,NoFeatures,0.01,3,0.9994444444444445,0.9894736842105263,0.9962904080551139,0.9827496079456352,12.362505197525024,2041,1477,564,0.00055995
health,Medium,gpt-4o-mini,NoFeatures,0.01,4,0.99946875,0.990397288646206,0.9958349110185536,0.9850187265917603,13.21827220916748,2057,1475,582,0.00057045
health,Medium,gpt-4o-mini,NoFeatures,0.01,5,0.9995,0.9917149958574979,0.996116504854369,0.9873522133626615,12.050044775009155,2038,1483,555,0.00055545
