dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Large,gpt-4o-mini,NoFeatures,0.01,1,0.9994208333333333,0.9869077893943675,0.9933636708380735,0.9805352798053528,21.284119367599487,2040,1486,554,0.0005553
health,Large,gpt-4o-mini,NoFeatures,0.01,2,0.9994229166666667,0.98808755859459,0.9940295924547893,0.9822161422708618,42.30823588371277,2034,1487,547,0.00055125
health,Large,gpt-4o-mini,NoFeatures,0.01,3,0.9994041666666666,0.9885743201853677,0.9943741963137591,0.9828417094741302,21.93822693824768,2047,1472,575,0.0005658
health,Large,gpt-4o-mini,NoFeatures,0.01,4,0.9994520833333334,0.9902610627661544,0.9956439182396962,0.984936098117933,22.01746702194214,2043,1478,565,0.0005606999999999999
health,Large,gpt-4o-mini,NoFeatures,0.01,5,0.99947,0.9911698553300197,0.9966772770424973,0.985722964763062,25.85434579849243,2105,1498,607,0.0005889000000000001
