dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
retail,Large,grok-3,NoFeatures,0.1,1,0.9468875,0.8782521489971347,0.8056512025233277,0.9652338214454417,18.145283460617065,2731,1984,747,0.0
retail,Large,grok-3,NoFeatures,0.1,2,0.9494,0.8909614944309014,0.8254164327157028,0.9678141412959197,16.378857135772705,2722,1984,738,0.0
retail,Large,grok-3,NoFeatures,0.1,3,0.9516520833333333,0.9011858380702987,0.8410879206472842,0.9705329383603731,22.910860300064087,2777,1996,781,0.0
retail,Large,grok-3,NoFeatures,0.1,4,0.953878125,0.9101507329664442,0.8554238927065393,0.9723586224838217,65.70247268676758,2723,1984,739,0.0
retail,Large,grok-3,NoFeatures,0.1,5,0.9558,0.9179806920611062,0.8680426390594841,0.9740152984376692,41.717811822891235,2780,2004,776,0.0
