dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,deepseek-chat,NoFeatures,0.01,1,0.79914,0.17653328960314857,0.09776143123098578,0.9088222878851836,50.47304010391235,2586,1785,801,0.0013630500000000002
wallmart,Large,deepseek-chat,NoFeatures,0.01,2,0.79973,0.19281770182580307,0.1077234857014186,0.9178818112049117,50.48827648162842,2572,1756,816,0.00137172
wallmart,Large,deepseek-chat,NoFeatures,0.01,3,0.8003333333333333,0.20462090027884744,0.11502575203403748,0.9255255255255255,58.488160371780396,3131,2237,894,0.0015873900000000002
wallmart,Large,deepseek-chat,NoFeatures,0.01,4,0.80079,0.21603274237028,0.12217758538186756,0.9319242848654613,61.91127634048462,3289,2299,990,0.0017097300000000002
wallmart,Large,deepseek-chat,NoFeatures,0.01,5,0.800018,0.22731382382715,0.12931360395290972,0.9387286188409497,57.79995036125183,2843,1984,859,0.00148058
