dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
retail,Medium,grok-3-mini,NoFeatures,0.1,1,0.95475,0.8935607174360483,0.8335161821173889,0.9629277566539924,180.41814708709717,16523,1705,519,0.012900000000000002
retail,Medium,grok-3-mini,NoFeatures,0.1,2,0.94946875,0.8922646412152708,0.8201861832435081,0.9782322863403945,148.64064574241638,15863,1712,506,0.012726
retail,Medium,grok-3-mini,NoFeatures,0.1,3,0.9497083333333334,0.8970136518771331,0.8348288731835146,0.9692080759657048,183.96941375732422,14952,1701,439,0.011688
retail,Medium,grok-3-mini,NoFeatures,0.1,4,0.852625,0.7602196461256864,0.6243527643226991,0.9716662334286457,243.54650211334229,18623,1713,544,0.013299
retail,Medium,grok-3-mini,NoFeatures,0.1,5,0.951425,0.9115290046443858,0.847436820048258,0.9861090586670608,165.1793031692505,15842,1717,570,0.013701
