dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,gpt-4o-mini,Domain+RCI,0.1,1,0.75026,0.6201788538751672,0.45340123195979454,0.9810421979502478,202.7195930480957,26755,16908,9847,0.008444400000000001
wallmart,Large,gpt-4o-mini,Domain+RCI,0.1,2,0.801295,0.68015034326232,0.5335437843298187,0.9378523549518356,156.0017008781433,18140,11778,6362,0.0055839
wallmart,Large,gpt-4o-mini,Domain+RCI,0.1,3,0.80315,0.6927882889678456,0.5516415783674518,0.9310002516708146,208.21169185638428,22073,14139,7934,0.006881250000000001
wallmart,Large,gpt-4o-mini,Domain+RCI,0.1,4,0.7611025,0.6688934703140971,0.5139122564157171,0.9577119611053232,106.03436589241028,13233,8909,4324,0.003930749999999999
wallmart,Large,gpt-4o-mini,Domain+RCI,0.1,5,0.817624,0.7375915097380175,0.5986397735447165,0.9605462367525596,163.89136362075806,21180,13770,7410,0.006511500000000001
