dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,gpt-4o-mini,DomainOnly,0.01,1,0.80043,0.181922525107604,0.10036636663802072,0.9706911636045494,29.942004442214966,4284,2944,1340,0.0012456000000000001
wallmart,Large,gpt-4o-mini,DomainOnly,0.01,2,0.799895,0.18777017839384652,0.10454001039524531,0.921146953405018,35.13992953300476,6121,4526,1595,0.0016359
wallmart,Large,gpt-4o-mini,DomainOnly,0.01,3,0.8016633333333333,0.21057938519098351,0.11803902903379343,0.9748188183269868,46.47251868247986,6668,4828,1840,0.0018282
wallmart,Large,gpt-4o-mini,DomainOnly,0.01,4,0.802005,0.21978563265949483,0.12420527552304284,0.9536633324784133,40.89896607398987,5395,4000,1395,0.0014370000000000001
wallmart,Large,gpt-4o-mini,DomainOnly,0.01,5,0.80242,0.2325917409812634,0.13238597173832303,0.9568579828710213,52.28793430328369,5378,4011,1367,0.0014218500000000001
