dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,gpt-4o-mini,NoFeatures,0.01,1,0.79989,0.178766364345221,0.09912616056799563,0.9093945720250521,15.173884630203247,1969,1432,537,0.0005369999999999999
wallmart,Large,gpt-4o-mini,NoFeatures,0.01,2,0.800485,0.19052642255806876,0.10624434389140272,0.9216879293424927,18.765727519989014,2065,1457,608,0.00058335
wallmart,Large,gpt-4o-mini,NoFeatures,0.01,3,0.8010433333333333,0.20327037308950144,0.11413581172238045,0.9279707495429617,17.905717849731445,1972,1426,546,0.0005414999999999999
wallmart,Large,gpt-4o-mini,NoFeatures,0.01,4,0.8015525,0.216064074582498,0.1221402172820759,0.9352770177838577,17.732157945632935,2062,1456,606,0.0005819999999999999
wallmart,Large,gpt-4o-mini,NoFeatures,0.01,5,0.801924,0.2285798853439681,0.13014901543374136,0.9379314753260036,21.925613164901733,2050,1452,598,0.0005765999999999999
