dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Large,deepseek-chat,NoFeatures,0.1,1,0.9816875,0.9540891474892665,0.9275312277851122,0.9822127586355228,50.795069456100464,2725,2063,662,0.0012852100000000004
health,Large,deepseek-chat,NoFeatures,0.1,2,0.9832854166666667,0.9610603920655028,0.9393275269918977,0.9838227256918567,43.7774543762207,2113,1481,632,0.00109507
health,Large,deepseek-chat,NoFeatures,0.1,3,0.6059638888888889,0.5315089485347786,0.3619422454120187,1.0,46.493865728378296,2089,1484,605,0.00106618
health,Large,deepseek-chat,NoFeatures,0.1,4,0.613415625,0.5508026633195633,0.3800743000130292,1.0,58.612053632736206,2844,2096,748,0.00138872
health,Large,deepseek-chat,NoFeatures,0.1,5,0.96389,0.9320395353870572,0.8829094647637895,0.9869595400298277,46.220032691955566,1789,1218,571,0.0009569600000000001
