dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,deepseek-chat,NoFeatures,0.01,1,0.9993333333333333,0.9851024208566108,0.9814471243042672,0.9887850467289719,33.70262575149536,1800,1236,564,0.00095412
health,Medium,deepseek-chat,NoFeatures,0.01,2,0.9993333333333333,0.9864521591871296,0.9872881355932204,0.9856175972927242,39.169116258621216,2103,1500,603,0.0010683000000000001
health,Medium,deepseek-chat,NoFeatures,0.01,3,0.9993333333333333,0.9878419452887538,0.989345509893455,0.9863429438543247,25.396194219589233,1321,883,438,0.0007202100000000001
health,Medium,deepseek-chat,NoFeatures,0.01,4,0.9993541666666667,0.9885693215339233,0.990029542097489,0.9871134020618557,37.97128129005432,2037,1466,571,0.00102392
health,Medium,deepseek-chat,NoFeatures,0.01,5,0.999425,0.9904840711625983,0.9922630560928434,0.9887114537444934,36.280266523361206,1758,1218,540,0.0009228600000000001
