dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,deepseek-chat,NoFeatures,0.1,1,0.9819583333333334,0.9544833385892989,0.9295659295659295,0.9807733851803845,39.38845205307007,2076,1480,596,0.0010552
health,Medium,deepseek-chat,NoFeatures,0.1,2,0.957125,0.9055009642758748,0.8400783845957229,0.9819739069813763,41.449283838272095,2197,1516,681,0.00115842
health,Medium,deepseek-chat,NoFeatures,0.1,3,0.8772638888888888,0.7814192782408667,0.6455778976622527,0.9896623018607856,38.47510600090027,2121,1507,614,0.00108229
health,Medium,deepseek-chat,NoFeatures,0.1,4,0.986125,0.9711012757094507,0.957842927455596,0.9847318167818013,38.54197335243225,2053,1471,582,0.0010373700000000001
health,Medium,deepseek-chat,NoFeatures,0.1,5,0.9880083333333334,0.9763232801882291,0.9666688387853513,0.986172511218215,52.32791042327881,2914,2238,676,0.00134786
