dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,gpt-4o,NoFeatures,0.01,1,0.9994166666666666,0.9869646182495344,0.9943714821763602,0.9796672828096118,10.995448112487793,2010,1479,531,0.009007499999999998
health,Medium,gpt-4o,NoFeatures,0.01,2,0.9995208333333333,0.989773232547799,0.9955277280858676,0.9840848806366048,8.671778440475464,1747,1218,529,0.008335
health,Medium,gpt-4o,NoFeatures,0.01,3,0.9989861111111111,0.9804760631184809,0.9940347071583514,0.9672823218997362,9.031359434127808,2018,1476,542,0.00911
health,Medium,gpt-4o,NoFeatures,0.01,4,0.9994375,0.989891426432048,0.9947328818660647,0.9850968703427719,7.964884042739868,1718,1217,501,0.0080525
health,Medium,gpt-4o,NoFeatures,0.01,5,0.9994833333333333,0.9914127423822715,0.9958263772954925,0.9870380584666298,11.729707717895508,1738,1218,520,0.008244999999999999
