dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
health,Medium,gpt-4o,NoFeatures,0.1,1,0.982125,0.9559231480530155,0.9289137380191693,0.9845502645502645,9.041393041610718,2023,1475,548,0.0091675
health,Medium,gpt-4o,NoFeatures,0.1,2,0.9840208333333333,0.9632433986677529,0.9423347398030942,0.9851009605959615,12.756569147109985,3063,2373,690,0.0128325
health,Medium,gpt-4o,NoFeatures,0.1,3,0.9854305555555556,0.9679841294063788,0.9507764254451706,0.9858261842596047,9.101608276367188,1619,1208,411,0.00713
health,Medium,gpt-4o,NoFeatures,0.1,4,0.98715625,0.9733940400923549,0.9606866002214839,0.9864421605073256,9.947997331619263,2031,1479,552,0.0092175
health,Medium,gpt-4o,NoFeatures,0.1,5,0.9887583333333333,0.9778208901238018,0.9688528328934937,0.9869565217391304,9.474260807037354,2003,1474,529,0.008974999999999999
