dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Large,gpt-4o,NoFeatures,0.1,1,0.79208,0.646875,0.49862540256067867,0.9205781408614105,15.321985721588135,2205,1720,485,0.009150000000000002
wallmart,Large,gpt-4o,NoFeatures,0.1,2,0.79789,0.673125131406576,0.528387162299411,0.9270726600436584,13.427757740020752,1656,1377,279,0.006232500000000001
wallmart,Large,gpt-4o,NoFeatures,0.1,3,0.8031566666666666,0.6937799787394021,0.5522889576883385,0.9327384272169549,14.257165670394897,2018,1639,379,0.007887500000000002
wallmart,Large,gpt-4o,NoFeatures,0.1,4,0.807655,0.7107137217154589,0.5726525245548022,0.936493623599124,18.008851051330566,2218,1691,527,0.0094975
wallmart,Large,gpt-4o,NoFeatures,0.1,5,0.812248,0.7276177433207214,0.5933550069327125,0.940411457200501,16.682504653930664,2032,1653,379,0.007922499999999999
