dataset,size,model,features,error_level,run_index,accuracy,f1,precision,recall,runtime_seconds,tokens_total,tokens_prompt,tokens_completion,cost_usd
wallmart,Medium,gpt-4o,NoFeatures,0.01,1,0.8008,0.18627450980392157,0.10349523377212891,0.9306122448979591,9.690251350402832,2103,1652,451,0.00864
wallmart,Medium,gpt-4o,NoFeatures,0.01,2,0.8007,0.19180859691808597,0.1069409902780918,0.9292730844793713,8.837234735488892,2231,1727,504,0.009357500000000001
wallmart,Medium,gpt-4o,NoFeatures,0.01,3,0.8009666666666667,0.20945319740500462,0.11795407098121086,0.9338842975206612,12.616861343383789,2446,1776,670,0.01114
wallmart,Medium,gpt-4o,NoFeatures,0.01,4,0.801175,0.21668472372697725,0.12254901960784313,0.9345794392523364,11.095474481582642,1803,1377,426,0.0077025
wallmart,Medium,gpt-4o,NoFeatures,0.01,5,0.80138,0.22866019417475728,0.1301963559172121,0.9381771829190567,9.843268632888794,2163,1691,472,0.0089475
